What is the capital of France?,London,Berlin,Madrid,Paris,3
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,2
Who wrote the play Romeo and Juliet?,Shakespeare,Dickens,Hemingway,Tolkien,0
What is the largest mammal on Earth?,Elephant,Blue Whale,Great White Shark,Giraffe,1
What is the chemical symbol for gold?,Ag,Au,Fe,Pt,1
What is the square root of 144?,10,12,14,16,1
Which country is famous for the Great Wall?,India,China,Russia,Japan,1
What is the smallest prime number?,0,1,2,3,2
What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Potato,1
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,3
What is the name of the longest river in the world?,Amazon,Nile,Mississippi,Yangtze,1
Who painted the Mona Lisa?,Van Gogh,Da Vinci,Picasso,Rembrandt,1
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Helium,1
What is the freezing point of water in Celsius?,0,10,32,50,0
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz,2
How many continents are there?,5,6,7,8,2
Which is the tallest mountain in the world?,K2,Mount Everest,Kilimanjaro,Denali,1
Who was the first man to walk on the moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,John Glenn,2
What is the capital of Japan?,Seoul,Beijing,Tokyo,Hanoi,2
What is the currency of the United Kingdom?,Euro,Dollar,Pound,Yen,2
Which bird is known for its ability to mimic human speech?,Parrot,Eagle,Owl,Hawk,0
Who discovered gravity?,Newton,Einstein,Galileo,Tesla,0
Which country is known for the Eiffel Tower?,Italy,France,Germany,Spain,1
How many colors are in a rainbow?,5,6,7,8,2
What is the fastest land animal?,Cheetah,Lion,Horse,Kangaroo,0
Which element has the chemical symbol O?,Oxygen,Gold,Silver,Iron,0
What is the capital of Canada?,Toronto,Vancouver,Montreal,Ottawa,3
Who invented the telephone?,Bell,Edison,Tesla,Marconi,0
Which is the longest bone in the human body?,Femur,Tibia,Humerus,Radius,0
What is the main language spoken in Brazil?,Spanish,Portuguese,French,English,1
What is the national flower of Japan?,Lotus,Rose,Cherry Blossom,Tulip,2
Which sport is known as the king of sports?,Basketball,Football,Baseball,Tennis,1
Which famous scientist developed the theory of relativity?,Newton,Einstein,Galileo,Curie,1
What is the name of the fairy in Peter Pan?,Wendy,Tinker Bell,Ariel,Belle,1
Which desert is the largest in the world?,Sahara,Gobi,Kalahari,Atacama,0
How many players are there in a standard soccer team?,9,10,11,12,2
Which country is home to the kangaroo?,India,Australia,South Africa,Brazil,1
Who is the author of the Harry Potter series?,Rowling,Tolkien,King,Collins,0
What is the boiling point of water in Celsius?,50,75,100,125,2
Which musical instrument has 88 keys?,Guitar,Violin,Drum,Piano,3
Who was the first President of the United States?,Lincoln,Jefferson,Washington,Adams,2
What is the largest planet in the solar system?,Mars,Earth,Jupiter,Saturn,2
Which organ pumps blood in the human body?,Lungs,Brain,Heart,Kidney,2
What is the largest ocean animal?,Great White Shark,Blue Whale,Dolphin,Orca,1
Which continent is known as the Land Down Under?,Asia,Europe,Australia,South America,2
What is the capital of Italy?,Madrid,Rome,Athens,Paris,1
Which soft drink was originally created as a medicine?,Coca Cola,Pepsi,Fanta,Sprite,0
How many wings does a butterfly have?,2,4,6,8,1
